Reference,LabSex,Reprophase,date,Latitude,Longitude,depth,mature,activespawn,month,day,year
PIM120100301,2,6,4/4/2012,29.13935,-80.5089,25,2,2,4,4,2012
PIM120100101,2,2,4/4/2012,29.17948,-80.59635,26,2,2,4,4,2012
PIM120100101,2,2,4/4/2012,29.17948,-80.59635,26,2,2,4,4,2012
SAM120100402,2,1,4/4/2012,29.52223,-80.8452,22,1,2,4,4,2012
SAM120100301,2,3,4/4/2012,29.67813,-80.96708,20,2,2,4,4,2012
SAM120100203,2,3,4/4/2012,29.93872,-80.95855,23,2,2,4,4,2012
SAM120100203,2,3,4/4/2012,29.93872,-80.95855,23,2,2,4,4,2012
PIM120200401,2,3,4/10/2012,28.92453,-80.34863,31,2,2,4,10,2012
PIM120200402,2,1,4/10/2012,28.92793,-80.35003,32,1,2,4,10,2012
PIM120200403,2,2,4/10/2012,28.92793,-80.35007,32,2,2,4,10,2012
PIM120200403,2,2,4/10/2012,28.92793,-80.35007,32,2,2,4,10,2012
PIM120200402,2,3,4/10/2012,28.92793,-80.35003,32,2,2,4,10,2012
PIM120200403,2,2,4/10/2012,28.92793,-80.35007,32,2,2,4,10,2012
PIM120200403,2,2,4/10/2012,28.92793,-80.35007,32,2,2,4,10,2012
PIM120200403,2,2,4/10/2012,28.92793,-80.35007,32,2,2,4,10,2012
PIM120200403,2,2,4/10/2012,28.92793,-80.35007,32,2,2,4,10,2012
PIM120200403,2,2,4/10/2012,28.92793,-80.35007,32,2,2,4,10,2012
PIM120200403,2,2,4/10/2012,28.92793,-80.35007,32,2,2,4,10,2012
PIM120200403,2,3,4/10/2012,28.92793,-80.35007,32,2,2,4,10,2012
PIM120200403,2,3,4/10/2012,28.92793,-80.35007,32,2,2,4,10,2012
PIM120200402,2,3,4/10/2012,28.92793,-80.35003,32,2,2,4,10,2012
PIM120200403,2,3,4/10/2012,28.92793,-80.35007,32,2,2,4,10,2012
PIM120200301,2,2,4/10/2012,28.98038,-80.18805,53,2,2,4,10,2012
PIM120200301,2,3,4/10/2012,28.98038,-80.18805,53,2,2,4,10,2012
PIM120200301,2,3,4/10/2012,28.98038,-80.18805,53,2,2,4,10,2012
PIM120200301,2,2,4/10/2012,28.98038,-80.18805,53,2,2,4,10,2012
PIM120200301,2,2,4/10/2012,28.98038,-80.18805,53,2,2,4,10,2012
PIM120200301,2,2,4/10/2012,28.98038,-80.18805,53,2,2,4,10,2012
PIM120200301,2,3,4/10/2012,28.98038,-80.18805,53,2,2,4,10,2012
PIM120200501,2,1,4/10/2012,28.98875,-80.42983,23,1,2,4,10,2012
PIM120200501,2,3,4/10/2012,28.98875,-80.42983,23,2,2,4,10,2012
PIM120200501,2,2,4/10/2012,28.98875,-80.42983,23,2,2,4,10,2012
PIM120200501,2,2,4/10/2012,28.98875,-80.42983,23,2,2,4,10,2012
PIM120200501,2,3,4/10/2012,28.98875,-80.42983,23,2,2,4,10,2012
MPM120100503,2,3,4/11/2012,30.34312,-81.19153,21,2,2,4,11,2012
MPM120100303,2,3,4/11/2012,30.38508,-81.16343,24,2,2,4,11,2012
MPM120100101,2,2,4/11/2012,30.43722,-81.22098,23,2,2,4,11,2012
PIM120400101,2,2,4/13/2012,29.00182,-80.43822,24,2,2,4,13,2012
PIM120400101,2,2,4/13/2012,29.00182,-80.43822,24,2,2,4,13,2012
PIM120400101,2,2,4/13/2012,29.00182,-80.43822,24,2,2,4,13,2012
PIM120400101,2,2,4/13/2012,29.00182,-80.43822,24,2,2,4,13,2012
PIM120400101,2,2,4/13/2012,29.00182,-80.43822,24,2,2,4,13,2012
PIM120400101,2,2,4/13/2012,29.00182,-80.43822,24,2,2,4,13,2012
PIM120400102,2,2,4/13/2012,29.0022,-80.43792,24,2,2,4,13,2012
PIM120400103,2,6,4/13/2012,29.0024,-80.4385,24,2,2,4,13,2012
PIM120400203,2,6,4/13/2012,29.10588,-80.41705,27,2,2,4,13,2012
PIM120400203,2,2,4/13/2012,29.10588,-80.41705,27,2,2,4,13,2012
PIM120400203,2,2,4/13/2012,29.10588,-80.41705,27,2,2,4,13,2012
PIM120400203,2,3,4/13/2012,29.10588,-80.41705,27,2,2,4,13,2012
PIM120400203,2,2,4/13/2012,29.10588,-80.41705,27,2,2,4,13,2012
PIM120400203,2,2,4/13/2012,29.10588,-80.41705,27,2,2,4,13,2012
PIM120400203,2,2,4/13/2012,29.10588,-80.41705,27,2,2,4,13,2012
PIM120400203,2,2,4/13/2012,29.10588,-80.41705,27,2,2,4,13,2012
PIM120400203,2,2,4/13/2012,29.10588,-80.41705,27,2,2,4,13,2012
PIM120400203,2,2,4/13/2012,29.10588,-80.41705,27,2,2,4,13,2012
PIM120400203,2,2,4/13/2012,29.10588,-80.41705,27,2,2,4,13,2012
PIM120400203,2,2,4/13/2012,29.10588,-80.41705,27,2,2,4,13,2012
PIM120400203,2,2,4/13/2012,29.10588,-80.41705,27,2,2,4,13,2012
PIM120400203,2,2,4/13/2012,29.10588,-80.41705,27,2,2,4,13,2012
PIM120400501,2,3,4/13/2012,29.20392,-80.77417,21,2,1,4,13,2012
PIM120400501,2,2,4/13/2012,29.20392,-80.77417,21,2,2,4,13,2012
MPM120200301,2,3,4/17/2012,30.16728,-81.15487,22,2,2,4,17,2012
MPM120200403,2,3,4/17/2012,30.20617,-81.16388,24,2,2,4,17,2012
MPM120200403,2,3,4/17/2012,30.20617,-81.16388,24,2,2,4,17,2012
MPM120200403,2,3,4/17/2012,30.20617,-81.16388,24,2,2,4,17,2012
MPM120200403,2,3,4/17/2012,30.20617,-81.16388,24,2,2,4,17,2012
MPM120200403,2,3,4/17/2012,30.20617,-81.16388,24,2,2,4,17,2012
MPM120200403,2,3,4/17/2012,30.20617,-81.16388,24,2,2,4,17,2012
MPM120200403,2,3,4/17/2012,30.20617,-81.16388,24,2,2,4,17,2012
MPM120200203,2,3,4/17/2012,30.20808,-81.00098,28,2,2,4,17,2012
MPM120200203,2,2,4/17/2012,30.20808,-81.00098,28,2,2,4,17,2012
MPM120200203,2,3,4/17/2012,30.20808,-81.00098,28,2,2,4,17,2012
MPM120200203,2,3,4/17/2012,30.20808,-81.00098,28,2,2,4,17,2012
MPM120200201,2,2,4/17/2012,30.2084,-81.00098,28,2,2,4,17,2012
PIM120500101,2,2,4/19/2012,28.49873,-80.27523,43,2,2,4,19,2012
PIM120500101,2,2,4/19/2012,28.49873,-80.27523,43,2,2,4,19,2012
